주택건설실적통계(준공)(Statistics on Housing Construction(completion)) / 주택규모별 주택건설 준공실적(월계) (201007 ~ 202509),,,,,,,
다운로드 시간 : 2025-11-16   16:02,,,,,,,
,검색기간  : 201501 ~ 201901,검색분야 : 주택,작성주기 : 매월,,,,
 ,,,,,,,
월(Monthly),구  분,규모별,사용검사실적,,,,
2015-05,경기,85~135㎡이하,336,,,,
2015-05,경기,135㎡초과,452,,,,
2015-05,지방소계,계,"15,685",,,,
2015-05,지방소계,40㎡이하,338,,,,
2015-05,지방소계,40~60㎡이하,"3,683",,,,
2015-05,지방소계,60~85㎡이하,"8,254",,,,
2015-05,지방소계,85~135㎡이하,"2,073",,,,
2015-05,지방소계,135㎡초과,"1,337",,,,
2015-05,기타광역시,계,"4,816",,,,
2015-05,기타광역시,40㎡이하,148,,,,
2015-05,기타광역시,40~60㎡이하,"2,011",,,,
2015-05,기타광역시,60~85㎡이하,"1,732",,,,
2015-05,기타광역시,85~135㎡이하,586,,,,
2015-05,기타광역시,135㎡초과,339,,,,
2015-05,부산,계,718,,,,
